gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g100930,"GDSL esterase_lipase At1g09390  IPR001087  Lipase, GDSL",-1.1620953600481483,True,-1.1627343424428767,6.99564968786465e-13,1.02433829366954e-11,,,,,,True,False
Solyc01g100950,Glucose-6-phosphate 1-dehydrogenase  IPR001282  Glucose-6-phosphate dehydrogenase,1.1444429069194548,True,1.1505289637880123,2.76272292460934e-09,1.2320662997455e-08,,,,,,True,False
Solyc01g100960,Glucose-6-phosphate 1-dehydrogenase  IPR001282  Glucose-6-phosphate dehydrogenase,1.2349581465738255,True,1.2332846753548912,4.03369168727014e-11,3.02288800307395e-10,,,,,,True,False
Solyc01g100970,"Pyrrolidone-carboxylate peptidase  IPR000816  Peptidase C15, pyroglutamyl peptidase I",-0.12665846654690646,True,,,,,,,,,False,False
Solyc01g101000,Kinase family protein  IPR002290  Serine_threonine protein kinase,-0.48271644632379623,True,,,,,,,,,False,False
Solyc01g101010,AGAP008431-PA (Fragment)  IPR007308  Protein of unknown function DUF408,0.03044607916681768,True,,,,,,,,,False,False
Solyc01g101020,FACT complex subunit SPT16  IPR013953  FACT complex subunit Spt16p_Cdc68p,-0.564089580736842,True,,,,,,,,,False,False
Solyc01g101030,FACT complex subunit SPT16  IPR013953  FACT complex subunit Spt16p_Cdc68p,-0.6006720378079222,True,-0.6029809732112965,5.77994551720933e-06,1.22782399036703e-05,,,,,,True,False
Solyc01g101040,ATP-citrate lyase A-3  IPR016102  Succinyl-CoA synthetase-like,-0.8903388427200039,True,-0.8902068766705863,1.99347937227276e-10,1.21857253512794e-09,3.0,1.1482035050810206,1.1482035050810206,1.73060054318239e-07,Solyc01g101040.2.1_S232;Solyc01g101040.2.1_S244;Solyc01g101040.2.1_S244;T246,True,True
Solyc01g101060,S-adenosylmethionine synthase  IPR002133  S-adenosylmethionine synthetase,-2.1341709049094106,True,-2.1338219806373195,1.30734845023306e-14,4.21004095133026e-13,1.0,1.7193830523735112,1.7193830523735112,4.71545995607498e-09,Solyc01g101060.2.1_S235,True,True
Solyc01g101070,ABC transporter G family member 37  IPR013525  ABC-2 type transporter,-0.3123104809548653,True,,,,,,,,,False,False
Solyc01g101100,Receptor-like protein kinase  IPR002290  Serine_threonine protein kinase,-0.8226485326701685,True,-0.8216475012999611,7.36503459348034e-10,3.887198780692e-09,,,,,,True,False
Solyc01g101140,LOC100005105 protein (Fragment)  IPR007491  Protein of unknown function DUF537,-0.2958249030812178,True,,,,,,,,,False,False
Solyc01g101240,Aspartic proteinase  IPR001461  Peptidase A1,0.3436414816764271,True,,,,,,,,,False,False
Solyc01g101250,D111_G-patch domain-containing protein  IPR000467  D111_G-patch,-0.3576416644911632,True,,,,1.0,0.7763894603992436,0.7763894603992436,6.08268588173437e-05,Solyc01g101250.2.1_S287,False,True
